,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
23464,3307906192,2458907334,Finchley,KhanUKIP,1003.0
20320,3310502086,2458907334,Finchley,KhanUKIP,1003.0
20304,3310528037,2458907334,Finchley,KhanUKIP,1003.0
24482,3295360192,2458907334,Finchley,KhanUKIP,1003.0
20292,3310560615,2458907334,Finchley,KhanUKIP,1003.0
20288,3309893793,2458907334,Finchley,KhanUKIP,1003.0
23472,3307812609,2458907334,Finchley,KhanUKIP,1003.0
23470,3307798745,2458907334,Finchley,KhanUKIP,1003.0
20284,3310457459,2458907334,Finchley,KhanUKIP,1003.0
24456,3294714941,2458907334,Finchley,KhanUKIP,1003.0
22168,3311037185,2458907334,Finchley,KhanUKIP,1003.0
19924,3310631500,2458907334,Finchley,KhanUKIP,1003.0
23440,3307883560,2458907334,Finchley,KhanUKIP,1003.0
20994,3260807094,2458907334,Finchley,KhanUKIP,1003.0
22258,3309073661,2458907334,Finchley,KhanUKIP,1003.0
20006,3233140192,2458907334,Finchley,KhanUKIP,1003.0
23422,3307744371,2458907334,Finchley,KhanUKIP,1003.0
23418,3307864282,2458907334,Finchley,KhanUKIP,1003.0
22244,3309925199,2458907334,Finchley,KhanUKIP,1003.0
23416,2995149395,2458907334,Finchley,KhanUKIP,1003.0
22290,3307822431,2458907334,Finchley,KhanUKIP,1003.0
22944,3308558075,2458907334,Finchley,KhanUKIP,1003.0
20026,3310698226,2458907334,Finchley,KhanUKIP,1003.0
24382,3296057836,2458907334,Finchley,KhanUKIP,1003.0
20036,3308209078,2458907334,Finchley,KhanUKIP,1003.0
20040,3310665868,2458907334,Finchley,KhanUKIP,1003.0
24330,3296873212,2458907334,Finchley,KhanUKIP,1003.0
20050,3310625759,2458907334,Finchley,KhanUKIP,1003.0
24376,3311088545,2458907334,Finchley,KhanUKIP,1003.0
20164,2633755439,2458907334,Finchley,KhanUKIP,1003.0
20096,3310653388,2458907334,Finchley,KhanUKIP,1003.0
20104,3309339070,2458907334,Finchley,KhanUKIP,1003.0
22262,3308168008,2458907334,Finchley,KhanUKIP,1003.0
20124,3310574255,2458907334,Finchley,KhanUKIP,1003.0
20108,3310488975,2458907334,Finchley,KhanUKIP,1003.0
23404,3310271171,2458907334,Finchley,KhanUKIP,1003.0
20112,3310580644,2458907334,Finchley,KhanUKIP,1003.0
24334,3296630391,2458907334,Finchley,KhanUKIP,1003.0
19992,3310737064,2458907334,Finchley,KhanUKIP,1003.0
22956,3308553117,2458907334,Finchley,KhanUKIP,1003.0
23428,3307793343,2458907334,Finchley,KhanUKIP,1003.0
19928,3169756159,2458907334,Finchley,KhanUKIP,1003.0
23388,3334839953,2458907334,Finchley,KhanUKIP,1003.0
19930,3310596807,2458907334,Finchley,KhanUKIP,1003.0
19938,3310569844,2458907334,Finchley,KhanUKIP,1003.0
19954,3169124142,2458907334,Finchley,KhanUKIP,1003.0
23432,3146346904,2458907334,Finchley,KhanUKIP,1003.0
19956,3310669409,2458907334,Finchley,KhanUKIP,1003.0
19958,3310716773,2458907334,Finchley,KhanUKIP,1003.0
23430,3307892068,2458907334,Finchley,KhanUKIP,1003.0
